CÛdigo PDV;Nome;Cidade;Filial
4;BAR NUMERO UM;CAICO;CaicÛ
6;POSTO COSTA E SILVA;CAICO;CaicÛ
8;MERCADINHO JOAO BRAZ;CAICO;CaicÛ
10;BAR DO BITA;CAICO;CaicÛ
11;BAR DO BARROCA;CAICO;CaicÛ
12;MERC SAO MIGUEL;CAICO;CaicÛ
19;S5 - MERCADINHO UNIA;CAICO;CaicÛ
20;BAR DO FELIPE;CAICO;CaicÛ
29;O BEIRUTE;CAICO;CaicÛ
40;MERC DO GILSON;JUCURUTU;CaicÛ
50;O BATISTAO;CAICO;CaicÛ
57;BAR DO JAINHA;CAICO;CaicÛ
68;ERI BAR;CAICO;CaicÛ
69;MERCEARIA SANTA EDIV;CAICO;CaicÛ
80;MERCEARIA SAO MIGUEL;CAICO;CaicÛ
83;MERC DO RAIMUNDO;CAICO;CaicÛ
86;PERTINHO DE CASA;CAICO;CaicÛ
100;BAR E RESTAURANTE CA;CAICO;CaicÛ
101;DRINK BAR;CAICO;CaicÛ
107;O COMILAO BAR E REST;CAICO;CaicÛ
108;BOATE DE MELADINHO;CAICO;CaicÛ
109;MERCADINHO DONA ROSA;CAICO;CaicÛ
111;SUPERMERCADO PAULINO;CAICO;CaicÛ
114;VENDA AO CONSUMIDOR;CAICO;CaicÛ
122;BAR DO TIO;CAICO;CaicÛ
129;BARRACO DA PAZ;SAO FERNANDO;CaicÛ
132;MERCEARIA SANTANA;CAICO;CaicÛ
133;FRANCISCO ASSIS SANT;CAICO;CaicÛ
136;QUINTAL BAR;CAICO;CaicÛ
143;MERCADINHO NOSSA SEN;CAICO;CaicÛ
152;SUPERMERCADO SANTA R;CAICO;CaicÛ
153;MERCEARIA MEDEIROS;ACARI;CaicÛ
155;BAR DO BETO;ACARI;CaicÛ
160;LANC PIRES;ACARI;CaicÛ
163;S5 - POINT BAR;ACARI;CaicÛ
175;POUSADA DO GARGALHEI;ACARI;CaicÛ
189;CHURRASC BEIRA RIO;FLORANIA;CaicÛ
195;BAR DO ZECA BARRAO;CAICO;CaicÛ
203;MANOEL PAULINO;FLORANIA;CaicÛ
211;RONINHO ESPETINHO;FLORANIA;CaicÛ
213;MINI BOX SANTANENSSE;SANTANA DO SERIDO;CaicÛ
223;CHUR. DO EDILSON;CARNAUBA DOS DANTAS;CaicÛ
227;BAR SANTA VITORIA;EQUADOR;CaicÛ
231;DODOKA LANCHES E CHU;EQUADOR;CaicÛ
238;MERC IRMAO CANTALICE;EQUADOR;CaicÛ
252;MERC. O POPULAR;CRUZETA;CaicÛ
253;MERCEARIA ESPERANCA;CRUZETA;CaicÛ
260;BAR DRINK LIBRA;SAO JOSE DO SERIDO;CaicÛ
278;BAR UNIAO;CRUZETA;CaicÛ
284;RESTAURANTE E BAR;JAPI;CaicÛ
291;MERCADINHO SAO JOAO;SAO JOSE DO SERIDO;CaicÛ
293;BAR DO BOMBA;CARNAUBA DOS DANTAS;CaicÛ
300;REST. DO BIRINO;JARDIM DO SERIDO;CaicÛ
315;LA LANCHES;SAO JOSE DO SERIDO;CaicÛ
318;LANCHONETE DO MERCAD;SAO JOSE DO SERIDO;CaicÛ
